Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Mussakà rapido;Piatti unici;Melanzane;;;0;2 buste melanzane grigliate surgelat;1 kg. di ragù;1 scatola di besciamella;olio;sale;;;;;;;;;;;;;;Mettere le melanzane 10 min in forno sulla teglia con un po' d'olio.;In una pirofila fare degli strati con melanzane, un po' di sale, ragù.;Finire con la besciamella;Cuocere in forno caldo a 180° per circa 30 min.;;;;;;;;;;;;;;;Mia versione velocissima! Ma buonissima!!!! Per semplificarsi la vita!!!!!!! 
Panini di Paola;Piatti unici;Philadelphia;;;0;panini;philadelphia;prosciiutto cotto;lattuga o insalata;;;;;;;;;;;;;;;Farcire il pane con ingredienti abbondanti.;;;;;;;;;;;;;;;;;;OTTIMO!!!!!!!!!!!!!!!!!!!!!!!
Panino di roasbeef;Piatti unici;Roasbeef;;;0;Pane greco;fettine di roasbeef;lattuga;pomodoro;senape;sale;olio;;;;;;;;;;;;tagliare il pane a metà.;mettere abbondante roasbeef.;insalata e pomodoro a fettine.;sale e un filo di olio.;sul coperchio interno del pane mettere un po' di senape.;in forno ventilato a 220° per 5 min.;;;;;;;;;;;;;il pomodoro si può mettere quando escono dal forno se non piace caldo
Panzerotti;Piatti unici;Lievito di birra;;;0;Pasta da pane lievitata;salsa di pomodoro;mozzarella;sale;basilico;olio x friggere;;;;;;;;;;;;;Stendere la pasta in dischi piccoli e sottili;Mettere un po' di salsa di pomodoro, sale e un pezzettino di mozzarella;Chiudere molto bene a mezza luna;Friggere in olio caldo;Scalare su carta assorbente;A piacere metterci sopra un po' di salsa, un pezzettino di mozzarella e un po' di basilico;Servire caldissime;;L'olio deve essere caldo ma non esagerato e la cottura lenta;In questo modo non si bruciano, si cuociono e non si inzuppano;;;;;;;;;Buonissime! All'interno si può mettere anche solo la mozzarella e aggiungere la salsa sopra una volta fritte. Ricetta di mia invenzione ( con i suggerimenti di Paola)
Panzerotti alla ratatuie e caciocavallo;Piatti unici;Ratatuie;;;0;Ratatuie;pasta di pane;caciocavallo;olio x friggere;;;;;;;;;;;;;;;Stendere la pasta di pane a dischi grandi;Mettere abbondante ratatuie e pezzi ci caciocavallo;Sigillare benissimo i bordi;Friggere in olio caldo;L'olio non deve essere troppo caldo;la cottura lenta in modo che non si inzuppano ma si cuociano bene;Servire caldissimi;;;;;;;;;;;;Ricetta di mia invenzione. Buonissimi!!!!!
Patate ai formaggi;Piatti unici;Patate;4;;0;4 patate;timo;100 gr. di gruyere;100 gr. di speck in due fette;1 cipollotto;50 gr. di formaggio caprino;erba cipollina tagliuzzata;20 gr. di mandorle a lamelle;;;;;;;;;;;Lavare bene le patate.;Avvolgerle con tutta la buccia in fogli di alluminio.;Metterle in forno a 200° per circa 60 min.;Tritare il cipollotto e farlo appassire con un po' d'olio.;Unire lo speck ridotto a striscioline.;Unire il timo prima di spegnere.;Lavorare con una forchetta il caprino con il gruyere grattuggiato.;Unire lo speck e lavorare bene.;Aprire i cartocci delle patate e tagliare via la calotta.;Scavare delicatamente della polpa.;Unirla ai formaggi.;Riempire le patate e servire.;;;;;;;Eventualmente passarle un po' sotto il grill fino a far fondere e dorare i formaggi.
Patate all'ampezzana;Piatti unici;Cipolla;;;0;Patate lesse;cipolle;speck;uova;sale grosso;cetriolini sott'aceto;sale fino;burro;;;;;;;;;;;Soffriggere le cipolle tagliate fine.;Spellare le patate e tagliarle a pezzi.;Metterle nelle cipolle e salare un po' con il sale grosso;Far rosolare bene;In una padella a parte rosolare lo speck a pezzi;Togliere lo speck e mettere un po' di burro;Togliere lo speck e nella padella rompere le uova;Salare, sbattere bene e cuocere finchè sono asciuttissime;Servire le patate con lo speck, le uova e i cetriolini;;;;;;;;;;OTTIMISSIME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Piadina;Piatti unici;Strutto;6;360;2160;500 gr. di farina;un cucchiaio abbondante di strutto;un cucchiaino di sale;un cucchiaino di lievito per salati;acqua q.b.;;;;;;;;;;;;;;Frullare gli ingredienti fino a formare una pasta liscia e omogenea.;Lavorarla ancora un po' con le mani.;Con il mattarello fare tanti tondi.;Eventualmente aiutarsi con un piatto per tagliarli proprio bene.;Cuocere sull'apposita piastra ben calda.;;;;;;;;;;;;;;E' ottima servita con affettati o con formaggio squaqquarone e rucola.             Ricetta della zia Giuseppina Zanon.
Piadina di Gio;Piatti unici;Philadelphia;;;0;piadine;ricotta;philadelphia;cotto;;;;;;;;;;;;;;;Mescolare in dosi uguali ricotta e philadelphia;Scaldare la piadina sulla padella;Togliere dal fuoco;Mettere abbondante crema al formaggio su tutta la paidina;Coprire metà con le fette di cotto;Chiudere e addentare!!!!;;;;;;;;;;;;;Molto buonissima!!!!!!
Piadina di Gio 2;Piatti unici;Philadelphia;;;0;Piadina;Philadelphia;Pomodoro;Cetriolo;;;;;;;;;;;;;;;Scaldare la piadina in una padella;Mettere in un piatto; Spalmare con la philadelphia tutta la paidina;Su metà mettere fettine di pomodoro;Coprire con fettine di cetriolo;Chiudere a metà.;Addentare;;;;;;;;;;;;Buonissima e fresca!!!!!!!!!!
Piadina di Giulia;Piatti unici;Piadina;;;0;Piadine confezionate;Mozzarelle;Pomodorini;Rucola;Carne macinata mista;Aglio;Polvere di curry;;;;;;;;;;;;Cuocere la carne in una padella antiaderente con aglio e curry.;Scaldare la piadine nel forno microonde.;Tagliare i pomodorini a quarti e le mozzarelle a pezzettini.;Stendere tutti gli ingredienti sulle piadine.;Chiudere i due lembi sopra.;Fissare con uno stuzzicadente.;;;;;;;;;;;;;Ottime! Per guarnire sullo stuzzicadente mettere un'oliva o un cipollina sott'aceto.
Piadina di Paola;Piatti unici;Prosciutto crudo;;;0;piadine confezionate;mozzarella;prosciutto crudo;;;;;;;;;;;;;;;;Tagliare la mozzarella a fettine;Metterle su una metà della piadina;Passarla in forno finchè non si è sciolta;Asciugare benissimo con carta da forno l'acqua fuoriuscita;Mettere delle fette di prosciutto crudo e chiudere a metà;Mangiare finchè sono calde;;;;;;;;;;;;;Ricetta di Paola
Pizza;Piatti unici;Lievito di birra;6;;0;1cubetto di lievito da 25 gr.;400 gr. di farina di grano duro;600 gr. di farina bianca 00;olio extravergine;acqua a 37 gradi;2 cucchiaini di zucchero;2 cuchiai abbondanti di sale;6 scatole di polpa di pomodoro;6 mozzarelle;sale ;origano;;;;;;;;Sciogliere il lievito in 1/2 tazza da caffelatte di acqua tiepida.;Aggiungere lo zucchero e lasciare riposare 15 min. circa.;Scolare molto bene la polpa di pomodoro in modo che sia asciutta.;Mescolare le farine in una ciotola grande.;Aggiungere l'acqua con il lievito.;Mescolare.;Aggiungere 1/2 bicchiere di olio extravergine.;Aggiungere il sale.;Mescolare ed eventualmente aggiungere ancora un po' d'acqua.;Mescolare a lungo finchè non appiccica più.;Far lievitare in luogo tiepido (nel microonde spento);Mettere la carta da forno sulla teglia e sullo stampo rotondo grande.;Stendere la pasta.;Aggiungere il pomodoro e la mozzarella a pezzi.;Spolverare di sale e di origano.;Mettere un filo d'olio o spruzzarlo con lo spruzzino di Christina.;Cuocere a 250° per 15 min. Girare e cuocere ancora 2 min.;Teglia tonda cuocere 10 min e poi altri 5 dopo averla girata.;Mia ricetta.
"Pizza ""nonna Nina""";Piatti unici;Lievito x torte salate;12;631;7572;800 gr. di farina;200 gr. di olio di semi;4 cucchiai di lievito per torte salate;2-3 cucchiai di sale;acqua;2 kg di polpa di pomodoro;sale;10 mozzarelle da 100 gr.;olio extravergine;origano;;;;;;;;;Mettere a sgocciolare la polpa di pomodoro per una notte.;Salarlo leggermente.;Si fa la pasta con farina, olio, lievito, sale, acqua.;Coprire e far riposare per un po'.;Stendere la pasta su teglie da forno.;Tagliare le mozzarelle.;Mettere mozzarella, pomodoro e origano.;Irrorare con un po' d'olio extravergine.;Cuocere in forno caldo.;;;;;;;;;;Dose per tre placche del forno. Anzichè margherita si può farne di altro tipo aggiungendo, prima della cottura, altri ingredienti.                                     Ricetta della nonna Nina.
Polenta concia;Piatti unici;Polenta;4;421;1684;Fette di polenta avanzata;burro;salvia;aglio;cipolla;;;;;;;;;;;;;;Far rosolare l'aglio, la salvia e la cipolla nel burro.;Metterci la polenta e far riscaldare.;Versare il tutto in un piatto.;Servire subito.;;;;;;;;;;;;;;;
Polenta e gorgonzola;Piatti unici;Polenta;4;546;2184;300 gr. di farina di polenta;250 gr. di gorgonzola;sale;acqua;;;;;;;;;;;;;;;Cuocere la farina e preparare la polenta.;Appena è pronta metterci il gorgonzola a pezzi.;Coprire e lasciar riposare per qualche min.;Mescolare bene e servire subito.;;;;;;;;;;;;;;;Ricetta di Gianna Baggio.
Polenta pasticciata;Piatti unici;Polenta;4;625;2500;polenta pronta;ragù;salsiccia;porcini secchi;burro;grana;;;;;;;;;;;;;Tagliare a fette la polenta.;Ungere una teglia.;Metterci le fette di polenta.;Rosolare le salsicce.;Scolare i funghi.;Mettere del ragù sulla polenta.;Metterci dei pezzi di salsiccia sgocciolata dal grasso di cottura.;Aggiungerci i funghi.;Fare vari strati con la polenta e il ripieno.;Finire con la polenta.;Mettere dei fuocchetti di burro.;Spolverare di grana grattuggiato.;Passare in forno caldo a 200° per 20 min.;;;;;;Ricetta di Bruna Sottana.
Polpette con la peperonata;Piatti unici;Peperonata;;;0;peperonata;1 kg. di carne macinata;cipolla surgelata;prezzemolo surgelato;pane grattato;sale;2 uova;;;;;;;;;;;;Fare le polpette;Scaldare la peperonata;Mettere le polpette nella peperonata man mano che si fanno;Far cuocere un'oretta coperto;Scoperchiare e far asciugare;;;;;;;;;;;;;;Ricetta della nonna Nina. Buonissimo!!!!!!!
Roulade salata;Piatti unici;Farina;4;753;3012;250 gr. di farina;50 gr. di burro;1 uovo;1/2 bustina lievito per torte salate;latte;sale;400 gr. di mozzarella in filone;2 lattine di polpa di pomodoro;origano ;olio con lo spruzzino);;;;;;;;;Far sgocciolare bene la salsa di pomodoro.;Fare la pasta e stenderla della misura dello stampo lungo.;Tagliare la mozzarella a dadini.;Stendere il pomodoro.;Metterci la mozzarella.;Mettere origano e sale.;Spruzzare un po' d'olio;Arrotolare la pasta.;Mettere tutto nello stampo foderato con carta da forno.;Cuocere in forno caldo per un'ora.;Servire quando è tiepida.;;;;;;;;Non usare lo stampo di ferro perchè con il pomodoro perde e la pizza diventa nera e ha un cattivo gusto. Cuoce anche meno bene. Ricetta della Nonna Nina.
Sformato di patate;Piatti unici;Patate;8;511;4088;1kg. di patate;polpa di pomodoro;origano;7 etti di manzo macinato;2 salsicce;grana grattuggiato;;;;;;;;;;;;;Pelare le patate crude e tagliarle a fette.;Metterle in una pirofila leggermente unta.;Spolverare bene con il grana.;Aggiungere la carne, la salsiccia e il pomodoro.;Mettere un po' d'origano e ripetere gli strati.;Terminare con pomodoro e origano.;Mettere in forno caldo per 2 ore.;;;;;;;;;;;;Mia ricetta. Al posto dell'origano si può mettere delle erbe di provenza e viene un gusto meno aggressivo. Al posto di manzo e salsiccia i può mettere macinato misto, il gusto non cambia.
Sopa coada;Piatti unici;Carne bianca;12;759;9108;3 kg. circa di cosciotti di pollo;qualche osso per brodo;sedano;carota;cipolla;dadi;sale;pane toscano o pugliese;2 scatole di polpa pronta;formaggio emmental grattato;grana grattuggiato;;;;;;;;Lessare il pollo con gli ossi, le verdure e un dado.;Quando è cotto spolparlo.;Sgrassare il brodo e filtrarlo.;Tagliare e fette quadrate il pane e tostarlo in forno.;Usare la teglia da pasticcio grande.;Mettere pane, pollo, emmental e pomodoro.;Fare un altro strato e finire con il pane. ;Preparare del brodo di dado.;Bagnare con il brodo e coprire con dell'alluminio.;Cuocere in forno moderato per 5 ore.;Scoprire e far dorare.;Servire in coppette di terracotta accompagnato con il brodo di carne.;;;;;;;Ricetta dei nonni Giuliana e Mario.
Spatzel con crauti;Piatti unici;Grano saraceno;4;410;1640;300 gr. di farina di grano saraceno;3 uova;acqua;2 scatole grandi di crauti;burro;grana;4 cucchiai di olio d'oliva;2 spicchi d'aglio;2 cucchiai di farina;kimmel;;;;;;;;;Preparare i crauti alla solita maniera.;Mescolare la farina di grano saraceno con le uova.;Aggiungere un po' d'acqua per rendere l'impasto consistente.;Far bollire dell'acqua salata.;Mettere l'impasto nell'apposito strumento (nonna Giuliana).;Tagliarli direttamente sopra la pentola d'acqua.;Sistemare i crauti in due pirofile.;Appena i gnocchetti vengono a galla scolarli con la schiumarola.;Metterli sopra i crauti.;Sciogliere un po' di burro e irrorare la preparazione.;Cospargere di grana grattuggiato e far gratinare in forno.;;;;;;;;Si servono con bracciole affumicate. Gli spatzle si possono fare anche con farina bianca e spinaci. Si servono poi come dei normali gnocchetti con burro e grana.                       Ricetta nonna Giuliana.
Strucolo di spinaci;Piatti unici;Spinaci;10;328;3280;PASTA:;RIPIENO:;400 gr. di farina;1 kg. di spinaci già pronte;acqua;400 gr. di ricotta;sale;2 uova;3 cucchiai di olio di semi;sale;;noce moscata;;grana;;;;;Si fa la pasta e la si stende sopra un tovagliolo.;La larghezza deve essere quella della pescera e lo spessore di 3 cm.;In una pentola si mescolano le spinaci con la ricotta.;Si aggiungono le uova, la noce moscata e il grana.;Si mescola bene e si assaggia per il sale.;Si stende il ripieno sulla pasta in modo uniforme.;Si arrotola aiutandosi con il tovagliolo.;Si avvolge bene nel tovagliolo.;Nella pescera portare ad ebollizione acqua salata.;Metterci lo strucolo con il tovagliolo.;Cuocere per 40 minuti.;;;;;;;;Si può servire con ragù, salsa di pomodoro o passarlo al forno con burro e grana.                                                                                                                         Ricetta della nonna Nina.
Strudel di wurstel e patate;Piatti unici;Crauti;;;0;un rotolo di sfoglia;crauti cotti;patate lesse;wurstel;senape;olio;pepe;sale;;;;;;;;;;;Stendere la sfoglia.;Fare uno strato di patate lesse.;Salare e pepare.;Coprire con i crauti.;Mettere i wurstel tagliati a pezzettini.;Mescolare poca senape con pochissimo olio.;Versare sui wurstel.;Chiudere la sfoglia.;Bucherellare.;Cuocere a 180° fino a doratura.;;;;;;;;;Buona. la variante della senape è mia. Provare.
Tacos Salad;Piatti unici;Carne rossa;3;;0;1\2 kg. carne macinata;1 cipolla tritata;2 spicchi d'aglio;1e1\2 teaspoons chili;1\2 teaspoon origano;1\2 paprika;1\4 teaspoon cumino;1\2 teaspoon pepe macinato;2 teaspoons worcestershire;acqua;insalata mista;bel gioioso;salsa messicana piccante;tacos a pezzi (polentine rodeo);;;;;Cuocere la carne con la cipolla e l'aglio.;Aggiungere tutti gli aromi e le spezie.;Aggiungere la salsa e un po' d'acqua e far rosolare bene.;Preparare una bella insalata mista con tanti tipi di verdura.;Si mangia mettendo la carne sopra l'insalata.;Si aggiunge il bel gioioso, la salsa piccante e i tacos.;Si mescola e si mangia finchè la carne è ancora calda.;;;;;;;;;;;;Ricetta di Christina.
Toast di roast beaf;Piatti unici;Roast beaf;;;0;pane da tramezzini;insalata gentile;pomodori;olio;sale ;;;;;;;;;;;;;;Tagliare le fette di pane a quadrato;Su una fetta di pane mettere delle fette di roast beaf;Aggiungere un po' di sale, una foglia di insalata e un po' d'olio.;Mettere la seconda fetta di pane;Mettere altre fette di roast beaf;Mettere delle fette di pomodoro, olio e sale;Mettere un'altra fetta di pane;Mettere sulla piastra calda a grigliare x pochi minuti;;;;;;;;;;;E' buonissimo!!!!!
Torta di spinaci;Piatti unici;Spinaci;6;847;5082;Pasta sfoglia surgelata;1 kg. e 1\2 di spinaci surgelate;4 etti di ricotta;fette di prosciutto cotto;2 uova;noce moscata;sale;burro;;;;;;;;;;;Si cucinano le spinaci con poco burro e sale.;Si fanno raffreddare e si strizzano molto bene.;Si aggiunge la ricotta, un uovo e una grattata di noce moscata.;Si fodera una teglia con parte della pasta sfoglia.;Si copre il fondo con fette di prosciutto cotto.;Si mettono le spinaci.;Si livella bene e si copre con delle fette di prosciutto.;Si chiude con un disco di pasta sfoglia.;Si sigillano bene i bordi.;Si sbatte l'uovo rimasto e si pennella bene la superficie.;Si cuoce in forno ben caldo finchè la superficie sarà dorata.;Servire caldo o tiepido.;;;;;;;Cuocere a 180° x 45 min sul ripiano più basso. Poi altri 15 con forno ventilato con calore sopra e sotto. La cottura sarà così perfetta! Ricetta della nonna Giuliana.
"Torta salata ""anemica"" del dopo anniversario";Piatti unici;Uova di quaglia;;;0;2 dischi di pasta sfoglia;1 cipollina;zucchine;timo;olio;sale;ricotta;uova di quaglia;;;;;;;;;;;Affettare la cipolla;Metterla in una capace padella con un filo d'olio, sale e acqua;Coprire e cuocere finchè è tenera;Tagliare le zucchine a juliene e aggiungerle alla cipolla;Salare, mettere un filo d'olio e del timo;Coprire e cuocere;Scoprire, finire la cottura e far raffreddare;Aggiungere una scatola di ricotta;Stendere una sfoglia sulla tortiera pirex;Mettere le zucchine;Fare degli incavi con un cucchiaino e metterci le uova sgusciate;Coprire con l'altro disco di pasta;Bucherellare con una forchetta e chiudere bene i bordi;Cuocere in forno a 180° sul ripiano più basso per 30 minuti;;;;;"""Anemica"" perchè i colori sono molto tenui e pallidi ma buonissima!!!!!!!!! Ricetta di mia invenzione"
Torta salata di ricotta;Piatti unici;Ricotta;10;696;6960;PASTA:;RIPIENO:;6 etti di farina;5 etti di ricotta;3 etti di burro;1 etto di burro;1 uovo;1 etto di prosciutto;sale;5 cuc.ai di piselli cotti senza cipolla;;3 uova;;3 cucchiai di grana;;sale;;pepe;Preparare la pasta.;Preparare il ripieno che deve venire uniforme con punti di colore.;Da ultimo aggiungere le chiare a neve.;Foderare uno stampo rotondo con 2\3 della pasta.;Metterci il ripieno.;Coprire con la restante pasta.;Cuocere in forno caldo per circa 1 ora.;Servire tiepido o a temperatura ambiente.;;;;;;;;;;;Ricetta della nonna Nina.
Torta salata di ricotta (torta squisitosa);Piatti unici;Ricotta;6;;0;1confezione di pasta sfoglia 230gr;750 gr. di ricotta;2 etti di prosciutto a dadini;250 gr. di piselli surgelati;3 uova intere;2-3 cucchiai di parmigiano;1 etto di emmental grattugiato;sale;pepe;;;;;;;;;;Lessare i piselli in acqua salata.;Passare la ricotta al passaverdure e unirci le uova.;Aggiungerci i piselli e il prosciutto.;Aggiungerci anche i formaggi e il sale e il pepe.;Tirare la pasta sfoglia in forma quadrata.;"Foderare una teglia ""usa e getta"" di alluminio.";Versare il composto, tagliare via i bordi e usarli per decorare.;In forno caldo (200°-220°) finchè non è dorata.;Metterla nella parte bassa del forno.;Far attenzione che la pasta si cucini e si asciughi bene nel fondo.;;;;;;;;;Ricetta nonna Giuliana
"Tortino ""Papà Mario""";Piatti unici;Cavolini;6;673;4038;20 crepes circa;besciamella;cavolini di bruxelles;pane grattato;formaggio grana;;;;;;;;;;;;;;Ungere la pentola rotonda da forno della nonna Giuliana.;Mettere un po' di pane grattato sul fondo e sulle pareti.;Lessare i cavolini in acqua bollente salata.;Tagliarli a pezzi.;Amalgamarli con la besciamella.;Fare degli strati con le crepes e la besciamella.;Schiacciare bene con le mani.;Fare attenzione che sia ben piatto e senza aria nel mezzo.;Poco prima di servirli passarli in forno per 20 min a 180°.;Sfornarli e aspettare che si raffreddino un po'.;Toglierli dallo stampo, irrorarli con burro fuso e grana e servirli.;;;;;;;;Ricetta del nonno Mario.
Amatriciana;Primi piatti;Pancetta;;;0;pancetta affumicata;pasta;salsa di pomodoro;peperoncino;sale grosso;;;;;;;;;;;;;;Cuocere la pasta in acqua salata;Rosolare bene la pancetta a cubetti;Togliere la pancetta e mettere la salsa di pomodoro nel grasso rimasto;Scaldare bene e aggiungere il peperoncino;Scolare la pasta nel sugo e mspadellare;Aggiungere la pancetta;Servire con abbondante grana grattuggiato;;;;;;;;;;;;Molto buona
Bigoli alla Gio;Primi piatti;Carne bianca;;;0;Petto di tacchino;Salsicce di tacchino;Olio d'oliva;Noce moscata;Latte;Bigoli (fatti in casa);Sale;Grana;;;;;;;;;;;Tritare nel tritacarne il tacchino e le salsicce a crudo.;Mettere un goccio d'olio e rosolare bene la carne rompendola se si incolla.;Salare e mettere la noce moscata.;Aggiungere il latte e far evaporare leggermente.;Cuocere i bigoli e saltarli nel sugo.;Servirli con grana grattuggiato;;;;;;;;;;;;;Ricetta di mia invenzione.
Bigoli fatti in casa con sugo al formaggio aromatizzato al tartufo;Primi piatti;Farina di grano duro;3;;0;200 gr. di farina di grano duro;2 uova medie;1 scatola di salsa formaggio buitoni;un goccio di latte;1 cucchiaino di pasta di tartufo;(grana grattugiato);;;;;;;;;;;;;Fare la pasta con farina e uova nel Simac.;IMPORTANTISSIMO che le uova siano medie;Far lavorare bene e formare i bigoli;Mettere la salsa al formaggio in una ciotola di vetro;Aggiungere un goccio di latte e la pasta al tartufo;Scaldare in microonde.;Cuocere la pasta in acqua bollente salata;Scolarla e mescolarla al sugo;Servirla caldissima.;A piacere aggiungere un po' di grana;;;;;;;;;Ricetta di Paola
Bomba di riso;Primi piatti;Prosciutto crudo;;;0;Riso;burro;grana;besciamella;prosciutto crudo;;;;;;;;;;;;;;Lessare il riso in abbondante acqua bollente salata.;Scolarlo e condirlo con burro e grana.;Metterlo in uno stampo e pressarlo bene.;Girarlo su di un piatto da portata.;Versarci sopra la besciamella.;Metterci un po' di grana e le fettine di prosciutto crudo.;Servire caldo.;;;;;;;;;;;;Ricetta di Maria Vittoria.
Carbonara;Primi piatti;Uova;4;;0;400 gr. di pasta;4 uova;grana;pepe;4 scatolette di pancetta affumicata;sale grosso;;;;;;;;;;;;;Cuocere la pasta in acqua salata;Rososlare la pancetta in una padella antiaderente;Mettere 3 tuorli e 1 uovo intero in una terrina.;Sbattere bene con una forchetta;Aggiungere abbondante pepe.;Scolare la pasta nella pancetta e spadellare bene.;Fuori dal fuoco aggiungere all'uovo.;Servire con abbondante grana grattuggiato;;;;;;;;;;;"La pasta""consolatoria"" di Paola!"
Casunsiei;Primi piatti;Rape rosse;10;;0;3 confezioni di rape cotte al forno;3 cucchiai di ricotta;3 cucchiai di grana;3 cucchiai di pane grattato;3 uova;6 sfoglie di pasta all'uovo;burro;sale;pepe;grana;semi di papavero;;;;;;;;Pulire le rape e frullarle.;Metterle in una larga padella con un pezzettino di burro.;Far asciugare a fuoco basso mescolando spesso.;Far raffreddare.;Aggiungere la ricotta e il grana.;Mescolare bene.;Salare e pepare.;Stendere la sfoglia e tagliare i dischetti.;Riempirli con mezzo cucchiaino di ripieno.;Bagnare i bordi con un po' d'acqua e chiuderli a semiluna.;Farli asciugare per una giornata su dei canovacci.;Cuocerli in abbondante acqua salata per circa 7 minuti.;Scolarli e servirli con burro fuso, grana e semi di papavero.;;;;;;A piacere si possono scolare dall'acqua, metterli in una pirofila e passarli in forno con il burro e il grana. Al termine spolverizzarli con i semi di papavero.
Crema di funghi 1;Primi piatti;Funghi;4;587;2348;250 gr. di funghi;50 gr. di burro;1 cipolla;brodo (di dado ai funghi).;panna liquida;sale;;;;;;;;;;;;;Tagliare a fettine i funghi e soffriggerli con un po' di burro e la cipolla.;Quando sono rosolati aggiungere il brodo.;Cuocere per 10 min.;Frullare il tutto e aggiungerci la panna liquida.;Aggiustare di sale.;Servire calda.;;;;;;;;;;;;;Servire accompagnata da dei crostini.
Crema di funghi 2;Primi piatti;Funghi;;;0;1 kg. di funghi misti surgelati cotti;una patata lessa;brodo di verdure;latte;;;;;;;;;;;;;;;Mettere i funghi, la patata e il brodo in una pentola.;Portare a bollore.;Frullare.;Aggiungere un po' di latte.;;;;;;;;;;;;;;;Servire a piacere con dei crostini. Ricetta di mia invenzione.
Crema di mais;Primi piatti;Mais;;;0;una scatola di cipolla surgelata;2 scatole grandi di mais ;un pezzettino di burro;acqua;dado vegetale in polvere;sale ;pepe;olio extravergine;;;;;;;;;;;Mettere il burro e la cipolla in una padella a bordi alti.;Far rosolare un po' e aggiungere 1/2 bicchiere d'acqua.;A cottura far dorare appena la cipolla.;Aggiungere il mais sgocciolato.;Far insaporire. ;Salare e pepare.;Aggiungere circa 1/2 litro di acqua e 1 misurino di dado in polvere.;Far prendere il bollore e coprire.;Abbassare la fiamma e cuocere per circa 30 min.;Frullare bene il tutto col frullatore ad immersione. ;Servire con un filo di olio extra vergine e un po' di pepe macinato fresco;;;;;;;;Ricetta americana buonissima! Se si vuole si può passare il mais al passaverdure anzichè frullarlo ma perde molta della sua consistenza e trovare qualche chicco intero è molto piacevole al palato.
Crema di patate e porri;Primi piatti;Porri;;;0;4 patate;4 porri;acqua ;sale grosso;olio extravergine;pepe;speck;;;;;;;;;;;;Lavare e pelare le patate.;Tagliare a pezzi i porri senza la prima pelle.;Mettere le verdure in una grande pentola.;Coprire d'acqua e mettere del sale grosso.;Cuocere per 50 min. a fuoco medio.;Frullare il tutto.;Rosolare lo speck.;Servire con un filo d'olio, pepe e lo speck.;Mangiare caldissimo.;;;;;;;;;;Ottima! Paola l'adora!!!! :)
Crema di zucchine;Primi piatti;Zucchine;;;0;Zucchine;1 cipolla;sale;acqua;olio extravergine;crostini;;pepe;;;;;;;;;;;Nella pentola a pressione mettere le zucchine e la cipolla.;Aggiungere acqua (non troppa) e salare.;Portare a bollore e cuocere 15 min.;Aprire e frullare.;Servire caldo.;Servire con un filo d'olio, pepe e crostini;;;;;;;;;;;;;Molto buona! Il grana non ci sta. Ottima anche a temperatura ambiente.
Farro ai funghi;Primi piatti;Farro;;;0;Funghi misti cotti;Farro;Olio extravergine;Grana;Sale;;;;;;;;;;;;;;Scaldare i funghi;Aggiungere dell'acqua e portare a bollore;Salare leggermente;Aggiungere il farro e portare a cottura (circa 30-40 min.);Fuori dal fuoco mettere un filo di olio crudo;Servire caldo con abbondante grana;;;;;;;;;;;;;Buonissima!!!!!!
Farro e castagne;Primi piatti;Farro;4;;0;500 gr. di farro;500 gr. di castagne sotto vuoto;1 foglia di alloro;sale grosso;acqua;olio extra vergine d'oliva;pepe;;;;;;;;;;;;Mettere il farro e acqua a temperatura ambiente a coprirlo in una pentola.;Salare e mettere una foglia di alloro.;Portare a bollore e cuocere finchè il farro è a metà cottura.;Aggiungere la castagne e spappolarne alcune con la forchetta.;Cuocere fino a completa cottura . ;Mettere un filo di olio extra vergine.;Mescolare.;Servire con pepe macinato a piacere.;;;;;;;;;;;Ricetta nonna Giuliana.
Fonduta;Primi piatti;Formaggio;6;415;2490;600 gr. di fontina a dadini;latte;burro;6 tuorli;pepe bianco;crostini caldi;;;;;;;;;;;;;Tagliare la fontina a dadini.;Metterla in una terrina e coprirla di latte.;Lasciarla riposare per 3 ore.;Far fondere a bagnomaria una noce di burro.;Aggiungervi la fontina e il latte.;Mescolare con una frusta o un cucchiaio di legno.;Quando sarà sciolto e gli ingredienti amalgamati aggiungere i tuorli.;Importante è aggiungere i tuorli uno alla volta.;Continuare a sbattere con una frusta.;Inizialmente si scioglierà formando dei fili.;Poi si formerà una crema.;Quando apparirà come una crema densa togliere dal fuoco.;Aggiungere una noce di burro.;Macinarci un po' di pepe bianco.;Servirla subito accompagnata con crostini caldi.;;;;
